latin_name,common_name,korean_name,HANJA,chinese_name,pinyin,JAPANESE,KANJI
Alpiniae Officinari Rhizoma,Alpinia Officinarum Rhizome,고량강,高良薑,高良姜,Gaoliangjiang,リョウキョウ,良姜
Alpiniae Oxyphyllae Fructus,Bitter Cardamon,익지,益智,益智,Yizhi,ヤクチ,益智
Althaeae Flos,Althaea flower,촉규화,蜀葵花,,,,
Amomi Fructus,Amomum Fruit,사인,砂仁,砂仁,Sharen,シュクシャ,縮砂
Amomi Fructus Rotundus,Round Amomum Fruit,백두구,白豆蔲,豆蔻,Doukou,,
Amomi Tsao-Ko Fructus,Amomum Tsao-ko Fruit,초과,草果,草果,Caoguo,,
Ampelopsis Radix,,백렴,白蘞,白蔹,Bailian,,
Andrographis Herba,,천심련,穿心蓮,穿心莲,Chuanxinlian,,
Anemarrhenae Rhizoma,Anemarrhena Rhizome,지모,知母,知母,Zhimu,チモ,知母
Anemones Raddeanae Rhizoma,,양두첨,兩頭尖,两头尖,Liangtoujian,,
Anethi Fructus,,시라자,蒔蘿子,,,,
Angelicae Acutilobae Radix,Angelica Root,일당귀,日當歸,,,トウキ,当帰
Angelicae Dahuricae Radix,Angelica Dahurica Root,백지,白芷,白芷,Baizhi,ビャクシ,白芷
Angelicae Gigantis Radix,Angelica Gigas Root,당귀,當歸,当归,Danggui,,
Apocyni Veneti Folium,,나포마엽,羅布麻葉,罗布麻叶,Luobumaye,,
Aquilariae Lignum,Aloe wood,침향,沈香,沉香,Chenxiang,ジンコウ,沈香
Arachidis Testa,,화생의,花生衣,花生衣,,,
Araliae Continentalis Radix,Aralia Continentalis Root,독활,獨活,独活,Duhuo,ドクカツ,独活
Arctii Fructus,Arctium Fruit,우방자,牛蒡子,牛蒡子,Niubangzi,ゴボウシ,牛蒡子
Arctii Herba,,우방초,牛蒡草,鲜牛蒡草,Xianniubangcao,,
Arctii Radix,,우방근,牛蒡根,,,,
Ardisiae Crenatae Radix,,주사근,朱砂根,朱砂根,Zhushagen,,
